Era,Name,Notes,Length,Release Date,On Streaming?,Link(s),Type
"Melt My Eyez, See Your Future","Ain't No Way
(feat. Rico Nasty, 6LACK, Jasiah, JID, Kitty Ca$h, Powers Pleasant & Buddy) (prod. Powers Pleasant, Sucuki & LOOF)","Track 8 on Melt My Eyez, See Your Future. Has uncredited vocals from Buddy.",4:24,"Mar 25, 2022",On Streaming ,https://open.spotify.com/track/2HjtXRXDzKebOn7qmoyGml,Album Track
"Melt My Eyez, See Your Future","X-Wing
(prod. Darko, Clutch George & DRTWRK)","Track 9 on Melt My Eyez, See Your Future.",2:56,"Mar 25, 2022",On Streaming ,https://open.spotify.com/track/1EjccDPttDcWfvxhDp4A5r,Album Track
"Melt My Eyez, See Your Future","Angelz
(feat. Karriem Riggins & Bridget Perez) (prod. Mickey De Grand IV & Karriem Riggins)","Track 10 on Melt My Eyez, See Your Future. Has uncredited vocals from Bridget Perez. Samples Nothing Left to Do by After All",3:51,"Mar 25, 2022",On Streaming ,https://open.spotify.com/track/1N1lP4bMU7tOwOfY9XOzBl,Album Track
"Melt My Eyez, See Your Future","The Smell Of Death
(prod. Thundercat)","Track 11 on Melt My Eyez, See Your Future. Transitions into Sanjuro. Samples a clip from the anime Fist Of The North Star .",1:20,"Mar 25, 2022",On Streaming ,https://open.spotify.com/track/3mjKvneByzW8O3FX71zVLB,Album Track
"Melt My Eyez, See Your Future","Sanjuro
(feat. 454) (prod. Yung Exclusive, Kal Banx & Cardo Got Wings)","Track 12 on Melt My Eyez, See Your Future.",2:07,"Mar 25, 2022",On Streaming ,https://open.spotify.com/track/7EJRZSkf2PTHrXMW7kaoJN,Album Track
"Melt My Eyez, See Your Future","Zatoichi
(feat. slowthai) (prod. Powers Pleasant & Jonnywood)","Track 13 on Melt My Eyez, See Your Future. Samples the Amen, Brother drum break",3:30,"Mar 25, 2022",On Streaming ,https://open.spotify.com/track/5X0g53vyHrrU6sY17Rs50g,Album Track
"Melt My Eyez, See Your Future","The Ills
(prod. Dot Da Genius & Noah Goldstein)","Track 14 on Melt My Eyez, See Your Future.",3:22,"Mar 25, 2022",On Streaming ,https://open.spotify.com/track/4XLBbnwusHNJP1mCyv8AvP,Album Track
,Cold Blooded Soul Version,,,,,,
"Melt My Eyez, See Your Future","Melt Session #1 - Cold Blooded Soul Version
(with The Cold Blooded Soul Band & POSHstronaut)","Track 15 from the deluxe version of Melt My Eyez, See Your Future. Has backing vocals from POSHstronaut.",3:09,"Sep 30, 2022",On Streaming ,https://open.spotify.com/track/0U1ZzfstbEYbqTmxRy95pp,Album Track
"Melt My Eyez, See Your Future","Walkin - Cold Blooded Soul Version
(with The Cold Blooded Soul Band & POSHstronaut)","Track 16 from the deluxe version of Melt My Eyez, See Your Future. Has backing vocals from POSHstronaut.",2:45,"Sep 30, 2022",On Streaming ,https://open.spotify.com/track/6CQUWOqXOo4S8Jghab18Ga,Album Track
"Melt My Eyez, See Your Future","Worst Comes To Worst - Cold Blooded Soul Version
(with The Cold Blooded Soul Band)","Track 17 from the deluxe version of Melt My Eyez, See Your Future.",2:41,"Sep 30, 2022",On Streaming ,https://open.spotify.com/track/3D06Ij6ewsKQfe3UsAuJgK,Album Track
"Melt My Eyez, See Your Future","Mental - Cold Blooded Soul Version
(with The Cold Blooded Soul Band)","Track 18 from the deluxe version of Melt My Eyez, See Your Future.",2:07,"Sep 30, 2022",On Streaming ,https://open.spotify.com/track/0LdCOtpdCqgcEYuzNy1VS6,Album Track
"Melt My Eyez, See Your Future","Troubles - Cold Blooded Soul Version
(with The Cold Blooded Soul Band)","Track 19 from the deluxe version of Melt My Eyez, See Your Future.",2:32,"Sep 30, 2022",On Streaming ,https://open.spotify.com/track/2bwB8ZmkfOVKIF67cjEu0a,Album Track
"Melt My Eyez, See Your Future","Chrome Hearts
(with The Cold Blooded Soul Band; feat. Zacari)","Track 20 from the deluxe version of Melt My Eyez, See Your Future.",3:21,"Sep 30, 2022",On Streaming ,https://open.spotify.com/track/1jElpS6qTkqQWy24SjZljU,Album Track
"Melt My Eyez, See Your Future","X-Wing - Cold Blooded Soul Version
(with The Cold Blooded Soul Band)","Track 21 from the deluxe version of Melt My Eyez, See Your Future.",3:06,"Sep 30, 2022",On Streaming ,https://open.spotify.com/track/2GzUm7Ps1WbaiMiSY7CY0S,Album Track
"Melt My Eyez, See Your Future","Angelz - Cold Blooded Soul Version
(with The Cold Blooded Soul Band)","Track 22 from the deluxe version of Melt My Eyez, See Your Future.",3:20,"Sep 30, 2022",On Streaming ,https://open.spotify.com/track/2Z5QRBCb1VZk35fkqkrskL,Album Track
"Melt My Eyez, See Your Future","Larger Than Life
(with The Cold Blooded Soul Band)","Track 23 from the deluxe version of Melt My Eyez, See Your Future.",3:24,"Sep 30, 2022",On Streaming ,https://open.spotify.com/track/0CsgyUE97xzlaDTOHVHEIQ,Album Track
"Melt My Eyez, See Your Future","The Ills - Cold Blooded Soul Version
(with The Cold Blooded Soul Band)","Track 24 from the deluxe version of Melt My Eyez, See Your Future.",3:25,"Sep 30, 2022",On Streaming ,https://open.spotify.com/track/1qbk40CMjPGHyvuZ6D0Ota,Album Track
,Live At Electric Lady,,,,,,
"Melt My Eyez, See Your Future",Lonely Man - Live At Electric Lady,"Track 1 off of the Spotify exclusive EP, Live at Electric Lady. Cover of Lonely Man by the Japanese band Shogun",1:18,"15 May, 2023",Spotify Exclusive,https://open.spotify.com/track/3l6K3iSuvF7rX4XmsWOum8,Album Track
"Melt My Eyez, See Your Future",Walkin - Live At Electric Lady,"Track 2 off of the Spotify exclusive EP, Live at Electric Lady.",2:48,"16 May, 2023",Spotify Exclusive,https://open.spotify.com/track/1IlafhPrMREhGVsl81toXN,Album Track
"Melt My Eyez, See Your Future",Troubles - Live At Electric Lady,"Track 3 off of the Spotify exclusive EP, Live at Electric Lady.",2:33,"16 May, 2023",Spotify Exclusive,https://open.spotify.com/track/3Lme7TX0eoRYFdVgPQp5oy,Album Track
"Melt My Eyez, See Your Future",Angelz - Live At Electric Lady,"Track 4 off of the Spotify exclusive EP, Live at Electric Lady.",3:24,"17 May, 2023",Spotify Exclusive,https://open.spotify.com/track/4lr2oBqToF8Ub1X1i4uNJ9,Album Track
"Melt My Eyez, See Your Future",X-Wing - Live At Electric Lady,"Track 5 off of the Spotify exclusive EP, Live at Electric Lady.",3:23,"17 May, 2023",Spotify Exclusive,https://open.spotify.com/track/3qfyVloJt4wWnge1UwJKOU,Album Track
"Melt My Eyez, See Your Future","Didn't Cha Know - Live At Electric Lady 
(feat. Bilal)","Track 6 off of the Spotify exclusive EP, Live at Electric Lady. Cover of Didn't Cha Know by Eryah Badu.",4:23,"18 May, 2023",Spotify Exclusive,https://open.spotify.com/track/7dmgo44DhX2MOtaFV5a0HQ,Album Track
"Melt My Eyez, See Your Future","Endtroducin - Live At Electric Lady
(Endtro)","Track 7 off of the Spotify exclusive EP, Live at Electric Lady. An alternate version of this was later released by Powers Pleasant.",4:01,"18 May, 2023",Spotify Exclusive,https://open.spotify.com/track/2rhD1Uci1n9ZtVziI3SKpC,Album Track
,Singles/Loose Songs ,,,,,,
"Melt My Eyez, See Your Future","1st Quarter
(feat. REASON)","Apple Music exclusive for Apple Music's Freedom Songs 2022, in celebration of Juneteenth. Denzel said it was a throwaway.",3:13,"Jun 10, 2022",Apple Music Exclusive,"https://music.apple.com/au/album/1st-quarter-feat-reason-single/1626562944
https://pillows.su/f/ed80c496484f4c98866463d6f7938e58",Single
"Melt My Eyez, See Your Future","Bad Luck
(with PlayThatBoiZay) (prod. Kwes Darko, Spencer Pollard & Nate Burgess)",Released for the Dark Knights Dark Metal soundtrack.,2:52,"Jun 2, 2021",On Streaming ,https://open.spotify.com/album/5WYUs1ZqJo9LzW3MDaqXgS?si=-cE-JL-CSX6y3eVn8Cr3WQ,Single
"Melt My Eyez, See Your Future","Dynasties & Dystopia
(with Gizzle & Bren Joy) (prod. Sebastian Najand & Alex Seaver)","Track 8 on the soundtrack for Arcane League Of Legends.
""League is the worst game ever, Pokemon Unite clears"" -Tereyağız",2:58,"Nov 20, 2021",On Streaming ,https://open.spotify.com/track/2k2RPHMeyercU9PauiKNbU,Single
"Melt My Eyez, See Your Future","I'M JUST SAYIN THO
(feat. Tommy Swisher)",Released during the start of COVID-19 quarantine.,2:40,"May 9, 2020",Off Streaming,https://pillows.su/f/64aa17f350892be9ff5fdd809309fc88,Single
"Melt My Eyez, See Your Future","Let It All Hang Out
(feat. PlayThatBoiZay) (prod. Kwes Darko & Jamieson Shaw)",Track 20 on the soundtrack for Vegas.,2:13,"Jun 29, 2022",On Streaming ,https://open.spotify.com/track/3ztV1vDC22TIQc3SQ8DRj5,Single
"Melt My Eyez, See Your Future","Live From The Abyss
(prod. FNZ)",Protest song released by Denzel against Donald Trump and the social issues led to police brutality killing George Floyd under his mandate.,1:54,"Oct 9, 2020",On Streaming ,https://open.spotify.com/track/5EJtSwaaWbLUQMy34ySXWO?si=fc2lvHSBSnW5QKAOWpBe2Q,Single
"Melt My Eyez, See Your Future","The Game
(prod. Charlie Heat)",Released for Madden NFL soundtrack.,2:44,"Aug 13, 2021",On Streaming ,https://open.spotify.com/track/091n9MH1VUepOdhnv7SLci,Single
"Melt My Eyez, See Your Future","Walkin [Key Glock Remix]
(feat. Key Glock) (prod. Kal Banx)",Key Glock remix of Walkin. No first half and only half of Denzel's verse.,3:46,"Jun 1, 2022",On Streaming ,https://open.spotify.com/track/5GJS3CY3aqbT9j2lv434aQ,Single
,Features,,,,,,
"Melt My Eyez, See Your Future","Nyck Caution - Bad Day
(feat. Denzel Curry) (prod. Charlie Heat)",Track 9 on Nych Caution's album Anywhere But Here.,2:34,"Jan 15, 2021",On Streaming ,https://open.spotify.com/track/21o3VmgKWzVfHWdUUbqJt2,Feature
"Melt My Eyez, See Your Future","Young Franco - Fallin' Apart - Close Counters Remix
(feat. Denzel Curry, Pell & Close Counters)","Remix of Young Franco, Denzel Curry & Pell's song Fallin Apart.",3:17,"Jan 15, 2021",On Streaming ,https://open.spotify.com/track/0RN1g2p1UgdVtYxnT0v1io,Feature
"Melt My Eyez, See Your Future","Young Franco - Fallin' Apart - Human Movement Remix
(feat. Denzel Curry, Pell & Human Movement)","Remix of Young Franco, Denzel Curry & Pell's song Fallin Apart.",3:06,"Jan 15, 2021",On Streaming ,https://open.spotify.com/track/3iSkh7Mgri9NMSarST4Rwf,Feature
"Melt My Eyez, See Your Future","JID - Bruuuh [Remix]
(feat. Denzel Curry)","Rerecorded version of JID's SoundCloud single ""Bruuuh"" with an added verse from Denzel Curry.",3:26,"Feb 5, 2021",On Streaming ,https://open.spotify.com/track/5LghBGmNUUwI2BvX2boIdK,Feature
"Melt My Eyez, See Your Future","slowthai - terms
(feat. Denzel Curry & Dominic Fike) (prod. Kwes Darko, Kenny Beats & JD. REID)",Track 10 on slowthai's album TYRON.,3:12,"Feb 12, 2021",On Streaming ,https://open.spotify.com/track/2iwLygOHE2YStc23isxS3b,Feature
"Melt My Eyez, See Your Future","DJ Sidereal - Rest In Peace
(feat. Denzel Curry, Nell & KayCyy)",Single released by DJ Sidereal.,3:01,"Feb 16, 2021",On Streaming ,https://open.spotify.com/track/6dRUK3M4kFyoLDb2ozvnnP,Feature
"Melt My Eyez, See Your Future","Kenny Mason - A+
(feat. Denzel Curry) (prod. Roark Bailey & Jubilee)",Track 3 on Angelic Hoodrat: Supercut.,2:48,"Apr 16, 2021",On Streaming ,https://open.spotify.com/track/6hDvPTT67OgU5bAgAEMcOb,Feature
"Melt My Eyez, See Your Future","Flying Lotus - African Samurai
(feat. Denzel Curry)",Track 13 on Flying Lotus' album Yasuke.,1:54,"Apr 30, 2021",On Streaming ,https://open.spotify.com/track/5lX1t4AskmbbFKudOOC9IL,Feature
"Melt My Eyez, See Your Future","Jasiah - Art of War
(feat. Denzel Curry & Rico Nasty) (prod. Luke Swirsky, FNZ & Keanu Beats)",Track 2 on Jasiah's album 3.,3:06,"Jun 4, 2021",On Streaming ,https://open.spotify.com/track/75tFBhZ34HNOiPder8VFYt,Feature
"Melt My Eyez, See Your Future","Glass Animals - Tokyo Drifting [Oliver Malcolm Remix]
(with Denzel Curry)",Remix of Glass Animals & Denzel Curry's song Tokyo Drifting.,2:51,"Sep 9, 2021",On Streaming ,https://open.spotify.com/track/3kZQE0HODky0Z6WAdwHWQO,Feature
"Melt My Eyez, See Your Future","ZillaKami - Bleach
(feat. Denzel Curry)",Track 6 on ZillaKami's album DOG BOY.,2:30,"Sep 17, 2021",On Streaming ,https://open.spotify.com/track/09QvHJHDHbuptkaalGchss,Feature
"Melt My Eyez, See Your Future","League of Legends & PVRIS - Burn It All Down [Denzel Curry Remix]
(feat. Denzel Curry)",Remix of League of Legends song Burn It All Down that Denzel did.,3:35,"Oct 19, 2021",On Streaming ,https://open.spotify.com/track/5qmJzwzxZQ026FRMArPloB,Feature
"Melt My Eyez, See Your Future","Pouya - Wig Split
(feat. Denzel Curry)",Track 2 on Pouya's album Blood Was Never Thick As Water.,2:02,"Oct 22, 2021",On Streaming ,https://open.spotify.com/track/0tKQ8rPQhDHI0exwC42tXp,Feature
"Melt My Eyez, See Your Future","Powers Pleasant - Evil Twin
(with Denzel Curry & ZillaKami)",Finished version from the 13LOOD IN + 13LOOD OUT MIXX.,2:12,"Oct 29, 2021",On Streaming ,https://open.spotify.com/track/7nuor4ul6ATbHmlTZRvf1e,Feature
"Melt My Eyez, See Your Future","Powers Pleasant - Evil Twin (OG Mix)
(with Denzel Curry & ZillaKami)","Original mix of Evil Twin. Likely the version that was intended for TA13OO and was used on 13LOOD 1N 13LOOD OUT.
""If I didn't know better, I'd assume this was produced by Digital Nas"" -Tereyağız",2:11,"Jan 26, 2022",On Streaming ,https://open.spotify.com/track/4ykus05NXbXAei6tM2xeCM,Feature
"Melt My Eyez, See Your Future","Powers Pleasant - Evil Twin [Slowed & Reverb]
(with Denzel Curry & ZillaKami)",Slowed & reverbed version of Evil Twin. this shit sucks,2:34,"Jan 26, 2022",On Streaming ,https://open.spotify.com/track/2DiqgFViyIoVGdEpw4tHUl,Feature
"Melt My Eyez, See Your Future","Powers Pleasant - Evil Twin [Chopped & Screwed]
(with Denzel Curry & ZillaKami)",Chopped & screwed version of Evil Twin. even worse,3:14,"Jan 26, 2022",On Streaming ,https://open.spotify.com/track/63hGbdiSSkt8LzTZqevGwm,Feature
"Melt My Eyez, See Your Future","Dot Da Genius - Talk About Me
(with Denzel Curry, Kid Cudi & JID)",Single released by Dot Da Genius.,3:05,"Jun 24, 2022",On Streaming ,https://open.spotify.com/track/3tmpJN9fGVkrhlNkZVgH90?si=bfeec68c2f9e4b3d,Feature
"Melt My Eyez, See Your Future","Glass Animals - Tokyo Drifting [Young Franco Remix]
(with Denzel Curry)",Remix of Glass Animals & Denzel Curry's song Tokyo Drifting.,3:31,"Aug 5, 2022",On Streaming ,https://open.spotify.com/track/3I5sum0PXFZhoQETnJgizL,Feature
,"KING OF THE MISCHIEVOUS SOUTH VOL 2
(ULTRAGROUND, UNLOCKED VOL 2 )","(19/7/2024) (King Of The Mischievous South Vol. 2 officially releases)
(30/10/2024) (Denzel announces a deluxe version)
(15/11/2024) (KING OF THE MISCHEVIOUS SOUTH officially releases)",,,,"King of the Mischievous South Vol. 2 is the debut commercial mixtape by Denzel Curry, released on July 19, 2024, via PH Recordings and Loma Vista. It serves as the sequel to his third mixtape King of the Mischievous South Vol. 1 Underground Tape 1996 (2012). ",Feature
,KING OF THE MISCHIEVOUS SOUTH VOL. 2,,,,,,
KING OF THE MISCHIEVOUS SOUTH VOL 2,"KOTMS II INTRO
(with Kingpin Skinny Pimp) (prod. Montag Da Leadah & Mickey De Grand IV)",Track 1 on King Of The Mischievous South Vol 2. Transitions into ULTRA SHXT,0:31,"Jun 19, 2024",On Streaming ,https://open.spotify.com/track/2jStICN5kRyaiWD7hADfyV?si=5b891c62eee14b7b,Album Track
KING OF THE MISCHIEVOUS SOUTH VOL 2,"ULTRA SHXT
(with Key Nyata) (prod. Montag Da Leadah & Mickey De Grand IV, Nick León, DJ Qeys & POSHstronaut)","Track 2 on King Of The Mischievous South Vol 2. Remix of the song On That Devil Shit by 2 Low Key. The song is sampled, and both Denzel and Nyata interpolate parts of the song.",3:16,"Jun 19, 2024",On Streaming ,https://open.spotify.com/track/5d88Vpyco7yN3iriQqFtMc?si=f2d903a0847345da,Album Track
KING OF THE MISCHIEVOUS SOUTH VOL 2,"SET IT
(with Maxo Kream) (prod. ilykimchi, Oogie Mane & Darkboy Santana)",Track 3 on King Of The Mischievous South Vol 2.,2:40,"Jun 19, 2024",On Streaming ,https://open.spotify.com/track/0DA0XciaII4g0HpSdI4KYH?si=bcc7d8e054ea4c22,Album Track
KING OF THE MISCHIEVOUS SOUTH VOL 2,"HOT ONE
(with TiaCorine & A$AP Ferg) (prod. FNZ & SkipOnDaBeat)",Track 4 on King Of The Mischievous South Vol 2. Samples Fear No Man by The Gimisum Family and Mafia N****z by Three 6 Mafia,2:45,"Jun 5, 2024",On Streaming ,https://open.spotify.com/track/2TmS5wJTfWrpFgakSSTdCi?si=de79c8b0a39042d1,Album Track
KING OF THE MISCHIEVOUS SOUTH VOL 2,"BLACK FLAG FREESTYLE 
(with That Mexican OT) (prod. Payday & 187 RicKy)",Track 5 on King Of The Mischievous South Vol 2. Transitions into HEADCRACK INTERLUDE. Samples Peanut Butter by La Chat and It's Yours by T La Rock,3:27,"Jun 25, 2024",On Streaming ,https://open.spotify.com/track/1KucENjrvmAEkSVjAgkGH2?si=4dfee45faa4a4931,Album Track
KING OF THE MISCHIEVOUS SOUTH VOL 2,"HEADCRACK INTERLUDE
(with Kingpin Skinny Pimp) (prod. Bizness Boi, Derelle Rideout, RicoRunDat & MUDDY)",Track 6 on King Of The Mischievous South Vol 2. Transitions into G'Z Up.,0:31,"Jun 19, 2024",On Streaming ,https://open.spotify.com/track/5THzUZCaAVhUEb0at3ldUy?si=1cda984ed1c24bec,Album Track
KING OF THE MISCHIEVOUS SOUTH VOL 2,"G'Z UP
(with 2 Chainz & Mike Dimes) (prod. Bizness Boi, Derelle Rideout, RicoRunDat & MUDDY)",Track 7 on King Of The Mischievous South Vol 2. Transitions into LUNATIC INTERLUDE.,3:33,"Jun 19, 2024",On Streaming ,https://open.spotify.com/track/5EEncGup18tZrkuCIMHoc2?si=6d3ffc96e34c4623,Album Track
KING OF THE MISCHIEVOUS SOUTH VOL 2,"LUNATIC INTERLUDE [V1]
(with Kingpin Skinny Pimp) (prod. Julian Menkin & POSHstronaut)",Track 8 on the vinyl version of King Of The Mischievous South Vol 2. Doesn't have the part that transitions into SKED. Samples Psychopathic Lunatic by DJ Paul.,0:37,"Jun 19, 2024",Off Streaming,https://pillows.su/f/8e0aff24abe28ec620f022037cb9af76,Album Track
KING OF THE MISCHIEVOUS SOUTH VOL 2,"LUNATIC INTERLUDE [V2]
(with Kingpin Skinny Pimp) (prod. Julian Menkin & POSHstronaut)",Track 8 on King Of The Mischievous South Vol 2. Transitions into SKED. Samples Psychopathic Lunatic by DJ Paul .,0:39,"Jun 19, 2024",On Streaming ,https://open.spotify.com/track/689jX0Jm6VUwsoZlgEjwFQ?si=bcee290925454fd9,Album Track
KING OF THE MISCHIEVOUS SOUTH VOL 2,"SKED [V2]
(with Kenny Mason & Project Pat) (prod. Charlie Heat)",Track 9 on King Of The Mischievous South Vol 2. Transitions into CHOOSE WISELY INTERMISSION. Samples Victim of This Shit by Gangsta Blac .,3:42,"Jun 19, 2024",On Streaming ,https://open.spotify.com/track/5zzcStevEtH2sUZuBzqLGO?si=c1c9d8d8ed474eb4,Album Track
KING OF THE MISCHIEVOUS SOUTH VOL 2,"CHOOSE WISELY INTERLUDE [V1]
(with Kingpin Skinny Pimp) (prod. Hollywood Cole)
(CHOOSE WISELY INTERMISSION)",Track 10 on the Youtube visualizer and the physical versions of King Of The Mischievous South Vol 2. Features a different instrumental. Samples Victim of This Shit by Gangsta Blac and Midnight and You by Love Unlimited Orchestra.,0:37,"Jun 19, 2024",Off Streaming,https://youtu.be/DqT_g0nHcyI?si=uwUVqu3b-maAtbsh,Album Track
KING OF THE MISCHIEVOUS SOUTH VOL 2,"CHOOSE WISELY INTERMISSION [V2]
(with Kingpin Skinny Pimp) (prod. Hollywood Cole)
(CHOOSE WISELY INTERLUDE)","Track 10 on King Of The Mischievous South Vol 2. Titled ""CHOOSE WISELY INTERLUDE"" on the vinyl pressing. Transitions into COLE PIMP. Samples ""Victim Of This Shit"" by Gangsta Blac.",0:37,"Jun 19, 2024",On Streaming ,https://open.spotify.com/track/5HNLJM7pCmUJGphXyrfk8Y?si=341187a5b5ed4813,Album Track
KING OF THE MISCHIEVOUS SOUTH VOL 2,"COLE PIMP 
(with Ty Dolla $ign & Juicy J) (prod. Hollywood Cole)
(COLD PIMP)",Track 11 on King Of The Mischievous South Vol 2. Samples Midnight and You by Love Unlimited Orchestra.,3:38,"Jun 19, 2024",On Streaming ,https://open.spotify.com/track/4vdDAdLtmTqFR1J4AO4cBf?si=ec3a9942636c49bf,Album Track
KING OF THE MISCHIEVOUS SOUTH VOL 2,"WISHLIST
(with Armani White) (prod. Madd World)",Track 12 on King Of The Mischievous South Vol 2. Samples Love Me Back by Willie Hutch .,3:06,"Jun 19, 2024",On Streaming ,https://open.spotify.com/track/2OjJ5v66ksCRo6uTaR57Y5?si=cb4e4220711545c0,Album Track
KING OF THE MISCHIEVOUS SOUTH VOL 2,"HIT THE FLOOR 
(with Ski Mask The Slump God) (prod. ilykimchi, Oogie Mane & Xydra)",Track 13 on King Of The Mischievous South Vol 2.,3:26,"Jun 19, 2024",On Streaming ,https://open.spotify.com/track/3y4J1NqqwJhxo0xhaBFMCN?si=b19fee47d8304851,Album Track
KING OF THE MISCHIEVOUS SOUTH VOL 2,"HOODLUMZ
(with PlayThatBoiZay & A$AP Rocky) (prod. Kwes Darko)",Track 14 on King Of The Mischievous South Vol 2. Transitions into KOTMS II OUTRO. Samples Niggas From the Hood Ain't Changed by Juicy J.,2:09,"Jun 16, 2024",On Streaming ,https://open.spotify.com/track/6GkAi85HSZGqJwzYC2qXyI?si=33622b4b21c84d43,Album Track
KING OF THE MISCHIEVOUS SOUTH VOL 2,"KOTMS II OUTRO
(with Kingpin Skinny Pimp) (prod. Denzel Curry)",Track 15 on King Of The Mischievous South Vol 2.,0:31,"Jun 19, 2024",On Streaming ,https://open.spotify.com/track/7ALN74pwJ4TJUmwLyAGZEu?si=355589fca45f499e,Album Track
,KING OF THE MISCHIEVOUS SOUTH,,,,,,
KING OF THE MISCHIEVOUS SOUTH VOL 2,"ACT A DAMN FOOL
(with Duke Deuce & Slim Guerilla) (prod. FNZ)",Track 5 on the extended version of King Of The Mischievous South Vol 2.,3:43,"Nov 15, 2024",On Streaming ,https://open.spotify.com/track/4OUSf2tqMGciL1g0iiK30l?si=f727c7ec253e4d2c,Album Track
KING OF THE MISCHIEVOUS SOUTH VOL 2,"GOT ME GEEKED 
(prod. Powers Pleasant & Ben10k)",Track 11 on the extended version of King Of The Mischievous South Vol 2. Samples Whatever It Takes by Anita Baker.,2:32,"Nov 14, 2024",On Streaming ,https://open.spotify.com/track/65xcchkTcVBAWiIR6f9mMU?si=a4da18261210434d,Album Track
KING OF THE MISCHIEVOUS SOUTH VOL 2,"P.O.P
(with Key Nyata & Sauce Walka) (prod. MAD WORLD & Mickey De Grand IV)",Track 13 on the extended version of King Of The Mischievous South Vol 2. Samples Whatever It Takes by Anita Baker.,4:02,"Nov 15, 2024",On Streaming ,https://open.spotify.com/track/3cuf6ZRBZLQCf3jKqsT4Cc?si=f3c9dc9ca61e47bb,Album Track
KING OF THE MISCHIEVOUS SOUTH VOL 2,"ANOTHA LATE NITE
(with 454) (prod. 454 & Mickey De Grand IV)",Track 14 on the extended version of King Of The Mischievous South Vol 2. Samples Gettin Real Buck by Gangsta Blac.,2:56,"Nov 15, 2024",On Streaming ,https://open.spotify.com/track/5hz0QFBGVqUr96RMJzgJxr?si=332f6e2eeb43452c,Album Track
KING OF THE MISCHIEVOUS SOUTH VOL 2,"STILL IN THE PAINT
(with LAZER DIM 700 & BKTHERULA) (prod. Charlie Heat & Mickey De Grand IV)",Track 17 on the extended version of King Of The Mischievous South Vol 2. Samples/Remixes Hardest In Da Paint by Waka Flocka Flame.,3:53,"Oct 30, 2024",On Streaming ,https://open.spotify.com/track/5PXpiAqtsLRlTUlAoeZeYP?si=33d8f52a1eec47aa,Album Track
,Singes/Loose Songs,,,,,,
KING OF THE MISCHIEVOUS SOUTH VOL 2,"BLOOD ON MY NIKEZ
(feat. Juicy J) (prod. Ambezza, Othello, Dilip & Mathaius)",Single released on June 27 2023.,3:42,"27 Jul, 2023",On Streaming ,https://open.spotify.com/track/3gufNuGw8oT7Q2MTvRN8ZX?si=43cac7574c7f47b7,Single
KING OF THE MISCHIEVOUS SOUTH VOL 2,BLOOD ON MY NIKEZ [Music Video Version],Version of BLOOD ON MY NIKEZ from the music video. Has no Juicy J.,1:58,"20 Jul, 2023",Off Streaming,https://youtu.be/ZP8d6C7wPZE?si=1vOBR9JptVGA64iM,Single
KING OF THE MISCHIEVOUS SOUTH VOL 2,"ICE COLD ZEL FREESTYLE
(feat. ICECOLDBISHOP) (prod. Foster)",Track released alongside BLOOD ON MY NIKEZ. Stems were posted along with the song for producers to remix and post on social media sites but the stems are unfortunately lost as of now.,1:39,"3 Aug, 2023",On Streaming ,https://open.spotify.com/track/4P6ivDGUbbfXWpFJVyzV6s,Single
KING OF THE MISCHIEVOUS SOUTH VOL 2,"SKED [V1]
(feat. Kenny Mason) (prod. Charlie Heat)",Original version of SKED that was released before the album. Lacks the Project Pat verse.,2:38,"14 Sep, 2023",On Streaming ,https://open.spotify.com/track/57WwGbbzcKCG4tF4LdJjU5,Single
KING OF THE MISCHIEVOUS SOUTH VOL 2,SKED [Music Video Version],Version of SKED from the music video. Has no Kenny Mason.,1:40,"14 Sep, 2023",Off Streaming,https://youtu.be/OyLZ9wHz4xI?si=3xFsRMusic videowfWeVfoiY,Single
KING OF THE MISCHIEVOUS SOUTH VOL 2,"WOO
(feat. PlayThatBoiZay & Chief Pound) (prod. RONNY J)",Track that released alongside the SKED single.,3:01,"6 Oct, 2023",On Streaming ,https://open.spotify.com/track/4RjLOOdis03Tfu8rpcnUBu?si=3a429fc049a04ec1,Single
,Ultraground,,,,,,
KING OF THE MISCHIEVOUS SOUTH VOL 2,"ULTRAGROUND - Mr Popular
(with Denzel Curry & Key Nyata) (prod. Bassfingerz)","A the song with a video was posted by Denzel on Instagram in 2020 and by the director. The IG post has since been deleted. Was rumored to be for a Zel x Key collab album at the time however the song got released under ""ULTRAGROUND"".",1:00,"25 Dec, 2023",On Streaming ,https://open.spotify.com/track/2QuEnp25OG0N4Q3OAhwuVZ?si=b6ba480f7cad4849,Album Track
