Era,Name,Info/Notes,Length,Leak Date,File Date,File Date,Type,"Availability
(aka Snippet Central)",Quality,Link(s)
At Your Own Risk [V2],⭐️ Soon [V3],"Final At Your Own Risk version of ""Soon,"" completely different from the first 2 versions. Made in 2008 for the final copy of the album. Instrumental only.",2:53,"Jan 30, 2026","Jun 30, 1905",2008,Instrumental,OG File,High Quality,https://pixeldrain.com/u/RBVqvJtM
At Your Own Risk [V2],Sorry... (Instrumental) [V4],"Final At Your Own Risk version of ""Sorry....,"" completely different from the first 3 versions. Made in 2008 for the final copy of the album. Instrumental only.",3:00,"Jan 30, 2026","Jun 30, 1905",2008,Instrumental,OG File,High Quality,https://pixeldrain.com/u/vkcybv2W
At Your Own Risk [V2],⭐️ Speakerboxx (Instrumental) [V2],"Final At Your Own Risk version of ""Speakerboxx,"". Completely different from the original version. Made in 2008 for the final copy of the album. Instrumental only.",2:43,"Jan 30, 2026","Jun 30, 1905",2008,Instrumental,OG File,High Quality,https://pixeldrain.com/u/Mu2V3j5p
At Your Own Risk [V2],Return Of Saturn [V2],"Final At Your Own Risk version of ""Return Of Saturn,"" Completely different from the original. Made in 2008 for the final copy of the album. Instrumental only.",3:35,"Jan 29, 2026","Jun 30, 1905",2008,Instrumental,OG File,High Quality,https://pixeldrain.com/u/qWH5n2cF
At Your Own Risk [V1],Speakerboxx (Instrumental) [V1],"Instrumental to ""Speakerboxx,"" made and released sometime in 2006, as indicated by a poll on MySpace asking people to choose their favorite songs. Has adlibs from Tyler.",3:54,"Jan 27, 2026","Jun 29, 1905",2007,Instrumental,Full,CD Quality,https://pixeldrain.com/u/C85qNQNJ
At Your Own Risk [V2],⭐ Run Away [V3],"Final At Your Own Risk version of ""Run Away,"" completely different to the first 2 versions.  Made in 2007 for the final copy of the album. Instrumental only.",3:08,"Jan 26, 2026","Jun 29, 1905",2007,Instrumental,OG File,High Quality,https://pixeldrain.com/u/mZnVgFoS
Ace,Oprah,"Loose instrumental made in 2008, used for a Skoolie300 song of the same name. ",2:12,"Jan 22, 2026","Jun 30, 1905",2008,Instrumental,Full,CD Quality,https://pixeldrain.com/u/rKsZrgTx
The Recipe,"Burtono - Bluebells
(prod. Burtono & Tyler, The Creator)","Only confirmed Tyler produced track made the The Recipe. Samples ""Alright"" by Jamiroquai & ""Outstanding"" by The Gap Band.",2:39,"Jan 19, 2026",,,Production,Full,High Quality,https://pixeldrain.com/u/uRQGR5QF
Louis Vuitton Show,"✨ Daniel Caesar - ???
(feat. Tyler, The Creator)","OG Filename: Daniel Caesar - StudioPigalle Wip031022.mp3
Unnamed song recorded during the 2022 Paris sessions. Was initially sold under the name ""Answer My Call"" and said to be from CHROMAKOPIA sessions, however this is untrue. Leaked after a $750 groupbuy.",9:50,"Jan 17, 2026","Mar 10, 2022","Mar 13, 2023",Song,OG File,CD Quality,https://pixeldrain.com/u/gmyHSNLV
The Dead Sams,"Awkward (Instrumental) [V1]
(Sprung [V1])","Original version of Awkward made for The Dead Sams, made sometime in January 2012.",,"Jan 14, 2026",,,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/HyhfPByX
SuperDuper SteezMonster,"Hero vs. Villian
(prod. Tyler, The Creator & StereoHype)","SuperDuperSteezMonster track co produced with StereoHype, made in 2008. Track #5",2:33,"Jan 11, 2026","Jun 30, 1905",2008,Instrumental,Full,High Quality,https://pixeldrain.com/u/7F2nWy3R
SuperDuper SteezMonster,Thirsty ,"SuperDuperSteezMonster track #13, snippet leaked on YouTube on January 5, 2026.",,"Jan 5, 2026",,,Instrumental,Snippet,High Quality,https://pixeldrain.com/u/vndkZWbd
Cherry Bomb,"✨ Border Control
(feat. Kali Uchis)","Cherry bomb song with a Kali Uchis feature. Leaked after a successful GB alongside ""Timbean."" Very racist.",1:30,"Jan 5, 2026","Sep 14, 2014","Sep 14, 2014",Song,Full,CD Quality,https://pixeldrain.com/u/MLtCguEx
Cherry Bomb,"⭐ Timbean [V2]
(feat. Kali Uchis)
(For The Time Being, Time Being)","OG Filename: Timbean BNCE 1.0 RUFF
Finished Tyler x Kali song originating from the CHERRY BOMB sessions. Leaked after a successful GB alongside ""Border Control."" ""Timbean"" is mostly likely an intentional mispelling of ""Time Being"", however this is unconfirmed.",2:30,"Jan 5, 2026","Sep 14, 2014","Sep 14, 2014",Song,OG File,CD Quality,https://pillows.su/f/38b7454d85d7b133ab3adf615c193097
Unknown,🗑️ Lakeson,"Unknown era instrumental, leaked as a bonus to the ""Timbean"" groupbuy. This song was either bounced or made in 2018.",1:33,"Jan 4, 2026",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/8wz9jQg1
IGOR,"EARFQUAKE (Clean Version)
(add. Playboi Carti & Charlie Wilson)","Clean version of ""EARFQUAKE,"" found on radio music distribution website. Might have an alternate mix to release.",,"Jan 2, 2026",,,Song,Full,CD Quality,https://pixeldrain.com/u/o21FYaEi
CALL ME IF YOU GET LOST [V2],"DOGTOOTH (Clean Version)
(add. DJ Drama)","Clean version of ""DOGTOOTH,"" found on radio music distribution website. Might have an alternate mix to release.",,"Jan 2, 2026",,,Song,Full,CD Quality,https://pixeldrain.com/u/HwdJ1huW
CALL ME IF YOU GET LOST [V2],"Pharrell Williams - Cash In Cash Out (Clean Version)
(feat. 21 Savage & Tyler, The Creator) (prod. Pharrell Williams)","Clean version of ""CASH IN CASH OUT,"" found on radio music distribution website. Might have an alternate mix to release.",,"Jan 2, 2026",,,Song,Full,CD Quality,https://pixeldrain.com/u/9PYfqvEU
The Dead Sams,🗑️ Ferris Wheel [V1],"Confirmed to be from The Dead Sams, mentioned by Tyler on the freeperm archive in September 2012.",1:36,"Jan 1, 2026","Jul 4, 1905",2012,Instrumental,Full,High Quality,https://pixeldrain.com/u/zp8PcJtx
The OF Tape Vol. 2,"Cashmoney
(We Got Bitches (Instrumental))",Instrumental to We Got Bitches off The Odd Future Tape Volume 2.,3:44,"Dec 22, 2025",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/W6BrBa9N
WOLF [V3],"Colossus (Show Mix)
(Lost Weekend)","Show mix of the original version of ""Colossus"".",3:34,"Dec 22, 2025",,,Show Mix,OG File,CD Quality,https://pixeldrain.com/u/KXue3oHL
WOLF [V3],"IFHY [V1] (Show Mix)
(feat. Pharrell Williams)","OG Filename: IFHY Show Mix 2.0
Show mix for ""IFHY,"" has the 4-count intro & no drums at Pharrell's ""I'm in love"" part.",,"Dec 22, 2025",,,Show Mix,OG File,CD Quality,https://pixeldrain.com/l/PJbKT6zK#item=15
WOLF [V3],"IFHY [V2] (Show Mix)
(feat. Pharrell Williams)","OG Filename: IFHY Show Mix 2.1
Show mix for ""IFHY,"" has the 4-count intro & drums at Pharrell's ""I'm in love"" part.",,"Dec 22, 2025",,,Show Mix,OG File,CD Quality,https://pixeldrain.com/l/PJbKT6zK#item=16
WOLF [V3],Tamale [V1] (Show Mix),"OG Filename: 01 Tamale NEW ShowMix 2013
First show mix for ""Tamale,"" dated 2013.",2:51,"Dec 22, 2025",,,Show Mix,OG File,CD Quality,https://pixeldrain.com/l/PJbKT6zK#item=0
WOLF [V3],"Trashwang [V1] (Show Mix)
(feat. Na' kel, Jasper Dolphin, Lucas, L-Boy, Taco, Left Brain & Lee Spielman)","First show mix for ""Trashwang"".",,"Dec 22, 2025",,,Show Mix,OG File,CD Quality,https://pixeldrain.com/l/PJbKT6zK#item=24
WOLF [V3],"Trashwang [V2] (Show Mix)
(feat. Na' kel, Jasper Dolphin, Lucas, L-Boy, Taco, Left Brain & Lee Spielman)","Second show mix for ""Trashwang"".",,"Dec 22, 2025",,,Show Mix,OG File,CD Quality,https://pixeldrain.com/l/PJbKT6zK#item=25
WOLF [V3],"Mac Miller - OK (Show Mix)
(feat. Tyler, The Creator)","OG Filename: Ok - SHOW
Demo show mix for ""OK"" by Mac Miller, only has adlibs.",2:40,"Dec 22, 2025",,,Show Mix,OG File,Lossless,https://pixeldrain.com/l/PJbKT6zK#item=6
Cherry Bomb,2SEATER (Show Mix),"OG Filename: 2 Seater SHOW SEPT 2015
Show mix for ""2SEATER,"" dated September 2015.",3:36,"Dec 22, 2025",,,Show Mix,OG File,CD Quality,https://pixeldrain.com/l/PJbKT6zK#item=2
Cherry Bomb,"DEATHCAMP [V1] (Show Mix)
(feat. Cole Alexander) (prod. Tyler, The Creator & Mike Einziger)","OG Filename: 01_Deathcamp_ShowMixVersion2_09Jun2015
One of five show mixes for ""DEATHCAMP,"" dated June 9th, 2015 (seller says June 10th). Has alternate instrumentation & a new outro.",3:12,"Dec 22, 2025",,,Show Mix,OG File,CD Quality,https://pixeldrain.com/l/PJbKT6zK#item=1
Cherry Bomb,"DEATHCAMP [V2] (1/2) (Show Mix)
(feat. Cole Alexander) (prod. Tyler, The Creator & Mike Einziger)","OG Filename: 01_Deathcamp_Show Mix Version 3 Intro_07Jul2015
Show mix for ""DEATHCAMP"", intro only.",,"Dec 22, 2025",,,Show Mix,OG File,CD Quality,LINK NEEDED
Cherry Bomb,"DEATHCAMP [V2] (2/2) [V2] (Show Mix)
(feat. Cole Alexander) (prod. Tyler, The Creator & Mike Einziger)","OG Filename: 01_Deathcamp_Show Mix Version 4_07Jul2015
Show mix for ""DEATHCAMP"", intro only.",,"Dec 22, 2025",,,Show Mix,OG File,CD Quality,LINK NEEDED
Cherry Bomb,"DEATHCAMP [V3] (1/2) (Show Mix)
(feat. Cole Alexander) (prod. Tyler, The Creator & Mike Einziger)","OG Filename: Death Camp Show Mix Version 4 INTRO MSTR VW.mp3
Show mix for ""DEATHCAMP"", intro only.",,"Dec 22, 2025",,,Show Mix,OG File,CD Quality,https://pixeldrain.com/l/PJbKT6zK#item=8
Cherry Bomb,"DEATHCAMP [V3] (2/2) (Show Mix)
(feat. Cole Alexander) (prod. Tyler, The Creator & Mike Einziger)","OG Filename: Death Camp Show Mix Version 4 MSTR VW.mp3
Show mix for ""DEATHCAMP"", contains alternate instrumentation and a new outro. Second part of the above mix.",,"Dec 22, 2025",,,Show Mix,OG File,CD Quality,https://pixeldrain.com/l/PJbKT6zK#item=9
Cherry Bomb,Diaper (Show Mix),"OG Filename: DIAPER CARNIVAL
Show mix for ""Diaper."" Contains an extended intro",,"Dec 22, 2025",,,Show Mix,OG File,CD Quality,https://pixeldrain.com/l/PJbKT6zK#item=12
Cherry Bomb,"FIND YOUR WINGS (Show Mix)
(feat. Roy Ayers, Syd & Kali Uchis)","OG Filename: 04_ Find Your Wings Show 2015
Show mix for ""FIND YOUR WINGS,"" comment says ""'Mastered For iTunes' PRE-ENCODE MASTER.""",3:01,"Dec 22, 2025",,,Show Mix,OG File,CD Quality,https://pixeldrain.com/l/PJbKT6zK#item=5
Cherry Bomb,✨ FUCKING YOUNG (Show Mix),"OG Filename: 02_Fuckin Young Intro Show Mix 2015
Show mix for ""FUCKING YOUNG,"" has a beautiful saxophone interlude.",,"Dec 22, 2025",,,Show Mix,OG File,CD Quality,https://pixeldrain.com/l/PJbKT6zK#item=3
Cherry Bomb,"OKAGA, CA [V1] (Show Mix)","OG Filename: Okaga,CA-Show SEPT2015
One of two show mixes for ""OKAGA, CA,"" dated September 2015.",,"Dec 22, 2025",,,Show Mix,OG File,CD Quality,https://pixeldrain.com/l/PJbKT6zK#item=20
Cherry Bomb,"OKAGA, CA [V2] (Show Mix)
(feat. Leon Ware & Clem Creevy)","OG Filename: Okaga Ca SHOW MIX SEPT2015
One of two show mixes for ""OKAGA, CA,"" dated September 2015. Tyler, you gotta play this song more.",1:13,"Dec 22, 2025",,,Show Mix,OG File,CD Quality,https://pixeldrain.com/u/jd6ymHko
Cherry Bomb,"RUN [V3] (Show Mix)
(feat. Toro Y Moi & ScHoolboy Q)","OG Filename: 02_Run_ShowMixVersion2_09Jun2015
Show mix for ""RUN. Contains an extended intro, alternate interlude, and alternate outro.",2:14,"Dec 22, 2025",,,Show Mix,OG File,CD Quality,https://pixeldrain.com/u/EkCtB353
Cherry Bomb,"THE BROWN STAINS OF DARKEESE LATIFAH PART 6-12 (REMIX) (Show Mix)
(feat. ScHoolboy Q)
(THE BROWN STAINS OF BLACKEESE LATIFAH PART 6-12 (THE REMIX) (ROUGH DRAFT) (CLUB EDIT) (RODNEY JERKINS MIX) (DARK CHILD MIX))","OG Filename: 03_Darquise Latifah Show Mix QVRS 2015
Show mix for ""THE BROWN STAINS OF DARKEESE LATIFAH PART 6-12 (REMIX)"" with ScHoolboy Q's verse.",,"Dec 22, 2025",,,Show Mix,OG File,CD Quality,https://pixeldrain.com/l/PJbKT6zK#item=4
WOLF [V3],Rusty (Intro) [V2],"OG Filename: rustyintro2
Full version of the ""Rusty"" intro (or ""Parking Lot"" outro, however you think). Longer with unheard parts & has an alternate mix. Bounced in 2016 for unknown reasons (during the SFFB sessions).",0:44,"Dec 21, 2025","Apr 3, 2016","Apr 3, 2016",Instrumental,OG File,Lossless,https://imgur.gg/f/IDGqA2J
WOLF [V3],Answer (Show Mix),"Show mix for ""Answer"". Outro only.",,"Dec 21, 2025",,,Show Mix,OG File,CD Quality,https://pillows.su/f/97484931dd2e70f556346abee89cee41
WOLF [V3],"Domo Genesis - Go (Gas)
(feat. Wiz Khalifa, Juicy J & Tyler, The Creator) (prod. Tyler, The Creator)","OG Filename: Go Gas.bnc
Version of ""Go (Gas)"" by Domo Genesis with an alternate outro & earlier mixing. Leaked as part of a $700 groupbuy.",3:46,"Dec 19, 2025","Sep 27, 2012","Sep 27, 2012",Song,OG File,High Quality,https://pixeldrain.com/u/b5QKMyGj
WOLF [V3],"✨ Tamale [V2] (Show Mix)
(NOBODY FUCKING WITH T)","OG Filename: Tamale Show Mix CARNIVAL 2014
Show mix of ""Tamale,"" dated 2014 & made for that year's Camp Flog Gnaw. Has a completely new bit with new Tallulah vocals, originally fan named ""Nobody Fucking with T.""",4:24,"Dec 19, 2025",,,Show Mix,OG File,CD Quality,https://pixeldrain.com/u/619LWzKF
Cherry Bomb,"✨ Kali Uchis - In My Dreams
(prod. Tyler, The Creator)","Kali Uchis throwaway for her album ""Por Vida"", completely unreleated to the other Kali song of the same name. Snippet leaked on December 1st, 2025. Leaked as a bonus to the 24 songs groupbuy.",2:56,"Dec 19, 2025","Sep 14, 2014","Sep 14, 2014",Production,OG File,CD Quality,https://pixeldrain.com/u/aJnkjNzs
WOLF [V3],Awkward (Show Mix),"OG Filename: Awkward Show Mix 2.0
Show mix of ""Awkward,"" dated November 9th, 2013. Shortened to only his verse, chorus, & outro, which is pitched up at the end. Only vocals present are his chorus & backing vocals for Frank's part (He's not on this song).",3:03,"Dec 18, 2025",,,Show Mix,OG File,CD Quality,https://pixeldrain.com/u/4qt8hho3
Flower Boy,✨ November [V6],"OG Filename: November RUFF REF 4
Demo version of ""November"" with some harmonizing throughout the song, less vocals & adlibs, no interview vocals on the bridge except for a sample of a speech (might be Shane Powers), & alternate mixing. Dated May 11th, 2017.",3:47,"Dec 17, 2025","May 11, 2017","May 11, 2017",Song,OG File,CD Quality,https://pixeldrain.com/u/HjCwiJMy
Ace,"LaVish - Smile Cheese Take a Picture (Instrumental)
(prod. Tyler, The Creator)","Instrumental for ""Smile Cheese Take a Picture"" by LaVish & Tyler.",3:25,"Dec 13, 2025",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/o4NHw6vH
CALL ME IF YOU GET LOST [V2],"SAFARI (Instrumental)
(prod. Tyler, The Creator & Jay Versace)","Original version of the ""SAFARI"" instrumental used for sample clearance.",,"Dec 13, 2025",,,Instrumental,Tagged,Low Quality,https://pixeldrain.com/u/HvNDvj1g
my good beats,✨ Reverse (2/2),"Instrumental made in 2004 under ""my good beats"", planned to be reused for Dreams In 3-D sometime in 2004-2005. Reuses the Reverse name but isn't his first song. Samples ""Prototype"" by Outkast. Possibly used for Radio Arcade.",2:26,"Dec 11, 2025","Jun 26, 1905",2004,Instrumental,OG File,High Quality,https://pixeldrain.com/u/AzfB6j7s
At Your Own Risk [V1],⭐️ Speakerboxx [V2],"Finished version of ""Speakerboxx"" with a new take, recorded in 2007 for At Your Own Risk, later repurposed for Stereo-Type.",3:54,"Dec 11, 2025","Jun 29, 1905",2007,Song,Full,High Quality,https://pixeldrain.com/u/K78fmsC1
Stereo-Type,7-Up (Instrumental) [V1],"Earlier version of 7-Up that features different production & an entirely new outro, made in 2007. Leaked alongside other beats.",2:30,"Dec 11, 2025","Jun 29, 1905",2007,Instrumental,Full,CD Quality,https://pixeldrain.com/u/BjPXRd34
Eargasm,"Nylon [V1]
(Non, DNC)","Earlier version of Non with no sample, alternate production, and contains an earlier version of DNC that's faster.",3:43,"Dec 11, 2025","Jun 29, 1905",2007,Instrumental,Full,High Quality,https://pixeldrain.com/u/TU5bQ7LW
Eargasm,Vish [STEM EDIT],"Stem edit made using the acapella to the real song ""Vish"". Groupbought in December.",2:10,"Dec 11, 2025",,,Song,Partial,High Quality,https://pixeldrain.com/u/vXF5ytfa
Poly/Mono,"⭐CG [V1]
(Customized Greatly)","Original version of ""CG,"" made in 2008. Samples ""I Still Love You"" by the Roy Ayers Ubiquity. This version was originally given to LaVish to record on, would later be reworked & reused by Hodgy Beats for The Dena Tape. Has vocals by Tyler.",2:46,"Dec 11, 2025","Jun 30, 1905",2008,Instrumental,Full,High Quality,https://pixeldrain.com/u/sVUDgxNy
SuperDuper SteezMonster,⭐️ SuperDuperSteezMonster,"SuperDuperSteezMonster title track, made in 2008. Leaked alongside the existence of this project being made public. Track #1",3:14,"Dec 11, 2025","Jun 30, 1905",2008,Instrumental,Full,High Quality,https://pixeldrain.com/u/UEeaREqK
Dinosaur,Hunter [V1],"Early version of the ""Hunter"" instrumental, almost a completely different beat compared to the later version.",3:29,"Dec 11, 2025","Jun 30, 1905",2008,Instrumental,Full,CD Quality,https://pixeldrain.com/u/f7zyvZN2
CHROMAKOPIA,"Pimp (Instrumental)
(Rah Tah Tah)","Instrumental to ""Rah Tah Tah,"" titled ""Pimp.""",,"Dec 11, 2025",,,Instrumental,Snippet,CD Quality,"https://pixeldrain.com/u/sfrcTcc9
https://pixeldrain.com/u/5C3xGrLJ
https://pixeldrain.com/u/ndDHW11X"
At Your Own Risk [V1],Run Away [V1],"Early version of Run Away, has alternate production & alternate mixing. Also doesn't have the 4-count intro. ",2:26,"Dec 9, 2025","Jun 29, 1905",2007,Instrumental,Full,High Quality,https://pixeldrain.com/u/7oCzAfyo
Cherry Bomb,"BUFFALO (Show Mix)
(482)","Show mix for ""BUFFALO."" Sold, likely never leaking. Snippet is had, likely won't be released for this reason.",,"Dec 9, 2025",,,Show Mix,Snippet,High Quality,https://pixeldrain.com/u/mF18t2wz
Eargasm,⭐ Herpes and Cupcakes [V1],"Version of ""Herpes & Cupcakes"" that was recorded on, uses the second version of the instrumental with opens intended for Casey Veggies. Talked about alongside the instrumental on Tyler's Blogspot. ",5:21,"Dec 7, 2025","Jun 29, 1905",2007,Song,Full,Low Quality,https://pixeldrain.com/u/kfxekMX3
