Era,Name,Notes,Track Length,Release Date,Type,Streaming,Link(s)
NO STYLIST [V3],"ONTHEFLOOR
(prod. Clayco, ProllyIan & Prodbyri)","OG Filename: 16.ONTHEFLOOR (MAIN) SING MASTER
Track 16 on NO STYLIST.",3:10,"Aug 12, 2022",Mixtape Track,Yes,https://open.spotify.com/track/4XbHvtmSb62CBtQGhRBoEL?si=7e37a982cb7c4127
NO STYLIST [V3],"⭐ PASSAROUND
(prod. Clayco & T8ko)","OG Filename: 17.PASSAROUND (MAIN) SING MASTER
Track 17 on NO STYLIST.",2:30,"Aug 12, 2022",Mixtape Track,Yes,https://open.spotify.com/track/7aiOznDmD8ONxdPcrKutis?si=491fd4119ca64c9a
NO STYLIST [V3],"⭐ OTW
(prod. Clayco & Farsight)","OG Filename: 18.OTW (MAIN) SING MASTER
Track 18 on NO STYLIST.",3:44,"Aug 12, 2022",Mixtape Track,Yes,https://open.spotify.com/track/2xJLYquxTWeJtmK0vQnflY?si=34f2155373a94990
NO STYLIST [V3],"⭐ VETERAN
(feat. Ken Carson) (prod. Lil 88, KP Beatz & EPREME)","OG Filename: 19.VETERAN (MAIN) SING MASTER
Track 19 on NO STYLIST.",2:56,"Aug 12, 2022",Mixtape Track,Yes,https://open.spotify.com/track/6nB8lELQBAmRXeNQivxBJ4?si=636e190d3ef141b4
NO STYLIST [V3],"⭐ 20YRS OLD
(prod. ssort & KP Beatz)
(Money Up)","A community grail previewed on live by Lone. The track served as the lead single for Lone’s debut studio album, NO STYLIST.",2:14,"Apr 1, 2022",Single,Yes,https://open.spotify.com/track/0gQ1ppx7gsNtRATyotFXDg?si=f33b7b349ae44b64
NO STYLIST [V3],"lit like this
(prod. Clayco)",The song was uploaded on SoundCloud but since been taken down.,2:03,"Aug 8, 2021",Single,No,https://pillows.su/f/c00002b731b963b693d65725f3f55abd
NO STYLIST [V3],"BigSmokeChapo - 0100 In Dallas
(feat. Destroy Lonely) (prod. Clayco)",Track 8 on Rich Snake.,1:58,"May 13, 2022",Feature,Yes,https://open.spotify.com/track/5mRZhbSnu1tbLxLK3voFfo?si=65cc4d30ef784f5b
NO STYLIST [V3],"Sleepsound - Too High
(feat. Destroy Lonely) (prod. Sleepsound)",Uploaded by the producer of the song.,1:35,"Jun 2, 2022",Feature,Yes,https://open.spotify.com/track/4Z2xtc9QHIdYT7Z27MlHku?si=626eec6ea3d4465f
NO STYLIST [V3],"⭐ Ken Carson - X FOR BREAKFAST
(feat. Destroy Lonely) (prod. F1LTHY, Lukrative & Chenzo)",Track 2 on X TWO THREE.,2:18,"Jun 8, 2022",Feature,No,https://soundcloud.com/ahsault/ken-carson-x-for-breakfast?in=somestupidshit/sets/ken-carson-lost-files-3-5-x23&si=623d19bb26bc4b87963f3f21b62066ca&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
NO STYLIST [V3],"flexin
(feat. Ken Carson) (prod. Aviator Keyyz)","OG Filename: ken lone - flexin v1.3
A single released as a SoundCloud exclusive on Christmas 2021 but has since been taken down.",1:44,"Dec 25, 2021",Single,No,https://pillows.su/f/6dd8eac1153429982a25864b9e18ca99
NO STYLIST [V3],"Ken Carson - SHOULDA LISTENED
(feat. Lil Tecca & Destroy Lonely) (prod. UpMadeIt, Lil 88 & Nawbilly)",Track 7 on X TWO THREE.,2:26,"Jun 8, 2022",Feature,No,https://soundcloud.com/underthefallen/ken-carson-shouldve-listened?in=somestupidshit/sets/ken-carson-lost-files-3-5-x23&si=e3d926294c874b7ebc3f8c48508a29d5&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
NO STYLIST [V3],"⭐ Ken Carson - MDMA
(feat. Destroy Lonely) (prod. AM, ​star boy, Outtatown & ​bart how)",Track 6 on X.,3:48,"Jul 8, 2022",Feature,Yes,https://open.spotify.com/track/6hJjp4IbXc5bddl6RKutJr?si=13c050e35541459f
NO STYLIST [V3],"​🗑️ like dat
(prod. Clayco)",The song was uploaded on SoundCloud via Hitechstef but since been taken down.,2:12,"Aug 8, 2021",Single,No,https://pillows.su/f/1e14146563db2fe844ef64e0dcdb76cb
NO STYLIST [V3],"⭐ Euros
(prod. Cade & 4ME)","OG Filename: lonely Euros prod 4me cade
A song released by Destroy Lonely in August 2021.",2:33,"Aug 18, 2021",Single,Yes,https://open.spotify.com/track/7HPjNc73EIqSUKyaZCuKyP?si=5f46b9f3d9074b7a
NO STYLIST [V3],"Boss Bitches Kick It
(prod. Jonah Abraham & KP Beatz)",The song was uploaded on SoundCloud via Hitechstef but since been taken down. Beat is similar to Game Over (even has the same producers),2:35,Sep 2021,Single,No,https://pillows.su/f/e2de4e62e06e58d78a234f3884479135
NO STYLIST [V3],"⭐ hldmyhnd .wav
(prod. Clayco & Bhristo)","OG Filename: Hold My Hand
A song released by Destroy Lonely in October 2021.",1:53,"Oct 20, 2021",Single,No,https://soundcloud.com/destroylonely/hldmyhnd-wav?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
NO STYLIST [V3],"Go!
(prod. YXNGFLAIR)","OG Filename: Go Lone
The song was uploaded on SoundCloud but since been taken down.",2:02,"Nov 1, 2021",Single,No,https://pillows.su/f/8dec7ba79ac86ed7db6cd7ac9d01ec20
NO STYLIST [V3],"Two Times
(prod. Noah Mejia & sharkboy)","OG Filename: Lonely 2x
The song was uploaded on SoundCloud but since been taken down.",5:10,"Nov 6, 2021",Single,No,"https://www.youtube.com/watch?v=At6KXH76pys
https://pillows.su/f/50655bc07afd13eafec9c78e257e741f"
NO STYLIST [V3],"✨ All Night
(prod. Clayco)",The song was uploaded on SoundCloud via Hitechstef but since been taken down.,3:14,"Nov 19, 2021",Single,No,https://pillows.su/f/36b1c3131c2f412e6457048244e6ea26
NO STYLIST [V3],"It’s Up
(prod. KP Beatz, ShaunGoBrazy & Jonah Abraham)",The song was uploaded on SoundCloud via Hitechstef but since been taken down.,3:13,"Dec 7, 2021",Single,No,https://pillows.su/f/3b2afde8eb8c83e641a5381c9aa5cd21
NO STYLIST [V3],"✨ Put That Sht On
(prod. ProllyIan & Clayco)","OG Filename: 11206
The song was uploaded on SoundCloud via Hitechstef but since been taken down.",3:05,"Dec 10, 2021",Single,No,https://pillows.su/f/b3cb315f013cb0bbbb5296573296c759
NO STYLIST [V3],"Locvl - hit!
(feat. Destroy Lonely)",A song released by locvl in Decemeber 2021.,3:25,Dec 2021,Single,No,https://pillows.su/f/57f95530d38533dd41cc8d5433f2fa24
NO STYLIST [V3],"LMK
(prod. vvspipes, Mingo & Spears)","OG Filename: Lonely Lemme Know
The song was uploaded on SoundCloud via Hitechstef but since been taken down.",3:31,"Dec 24, 2021",Single,No,https://pillows.su/f/dbf57bcdfb192f2d8054d1fcdeb7b5c3
NO STYLIST [V3],"⭐ Ken Carson - Murda Musik
(feat. Destroy Lonely) (prod. Rok, ​bart how & 4VRLIT)
(murder_musik)",Track 16 on X.,2:56,"Jul 8, 2022",Feature,Yes,https://open.spotify.com/track/6N0I4EqoaIHib3W1LFPMzC?si=266bcfeda0544bed
NO STYLIST [V3],"TreyRaq - Miss Me
(feat. Destroy Lonely)",Track 2 on destruction.,2:10,"Jul 21, 2022",Feature,Yes,https://open.spotify.com/track/1qVslbMgsHb68F37l9fQI6?si=db690a44ad534002
NO STYLIST [V3],"Slump6s - Red
(feat. Destroy Lonely) (prod. enteernal & ​blsq)",Track 10 on Genesis.,3:17,"Jul 22, 2022",Feature,Yes,https://open.spotify.com/track/12hDqOKRx8i5pkgqkeQX2l?si=7f26aa4cbe5148bd
NO STYLIST [V3],"⭐ Bktherula - FOREVER, PT. 2 (JEZEBEL)
(feat. Destroy Lonely) (prod. Simmyauto)",A single from Bktherula in July 2022.,2:46,"Jul 29, 2022",Feature,Yes,https://open.spotify.com/track/4UvPWXmqiExQdIIoxb7ZHD?si=5f96bc53e10645eb
NO STYLIST [V3],"STRAPPED! - Bout My Brother
(feat. Destroy Lonely) (prod. Joalbert & COSMIC)","Track 15 on Stay Strapped, Vol. 2.",2:16,"Jan 7, 2022",Feature,Yes,https://open.spotify.com/track/5Qt4CZSFQiOZNc7jL0S7Xo?si=8be585f1931743e4
NO STYLIST [V3],"✨ Ken Carson - gang
(feat. Lil Tecca & Destroy Lonely) (prod. ISSY & ​ilykimchi)","OG Filename: ken tec lone - no friends v1.0.mp3
Track 2 on lost_files_3.",2:49,"Jan 29, 2022",Feature,No,https://soundcloud.com/kencarson/gang_ft_lil_tecca_and_destroy_lonely?in=darrious-coleman-994117925/sets/lost-files-3&si=4f3126180593408abc3722701629a33e&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
NO STYLIST [V3],"⭐ Ken Carson - raver
(feat. Destroy Lonely) (prod. UpMadeIt, Lil 88 & Nawbilly)","OG Filename: Ken Carson x Lonely - 1 11.4.21
The song was added to lost_files_3 on a later date as track 11.",3:34,2022,Feature,No,https://soundcloud.com/destroylonelyarchive/destroy-lonely-ken-carson-raver-prod-upmadeit-lil-88-nawbilly?si=c836ac5622f742c2adee2e14f9da419a&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
NO STYLIST [V3],"✨ Ken Carson - exodus
(feat. Destroy Lonely) (prod. Lil 88)","OG Filename: Ken Carson x Lonely - 2 11.4.21
The song was added to lost_files_3 on a later date as track 12.",3:17,2022,Feature,No,https://pillows.su/f/c6869edea3a6848e40e6f68199ba1f3d
NO STYLIST [V3],"Mahdi - Like Us
(feat. Destroy Lonely) (prod. Level & ​armaan)",A song released by Mahdi in January 2022.,2:54,"Jan 9, 2022",Feature,No,https://soundcloud.com/mahdiyork/like-us-ft-destroylonely?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
NO STYLIST [V3],"80CRY - WAY2FLY
(feat. Destroy Lonely)",A song released by 80CRY in January 2022.,2:23,"Jan 20, 2022",Feature,No,https://pillows.su/f/1d233efbc42d36b971a49d2ae32f3e2a
NO STYLIST [V3],"Future Rahma - LOOK AT MY!
(feat. Destroy Lonely) (prod. Sammyboy)",A song released by Future Rahama in January 2022. Destroy Lonelys feature is technically not credited. Cover is notably two naked asian girls kissing in a pool.,2:43,"Jan 20, 2022",Feature,Yes,https://open.spotify.com/track/79wK4h7jKIEu4g1MENurbT?si=1297ac154fe8412f
NO STYLIST [V3],"⭐ FUCK IT UP [PACK A PUNCH]
(prod. Clayco)",The song was uploaded on SoundCloud via Hitechstef but since been taken down.,3:06,"Jan 1, 2022",Single,No,https://pillows.su/f/d2197e18c1a7f3d320ed6eed83063cf6
NO STYLIST [V3],"goin n
(prod. 2sided & Clayco)",The song was uploaded on SoundCloud but since been taken down.,2:32,"Jan 1, 2022",Single,No,https://pillows.su/f/d501691ef7aa684f838fab9655a54873
NO STYLIST [V3],"✨ 9SM (1017 alyx remix)
(prod. whylunar & ayyme)",The song was uploaded on SoundCloud via Hitechstef but since been taken down.,2:09,Jan 2022,Single,No,https://pillows.su/f/db2ef4851154b05e330627de486e3af5
NO STYLIST [V3],"fall over
(prod. ???)",The song was uploaded on SoundCloud but since been taken down.,2:23,Date needed,Single,No,https://pillows.su/f/85de8d3b538889cf69b5138abc370c60
NO STYLIST [V3],"✨ Hail Mary
(prod. Cade & OB Beats)
(Demons)",The song was uploaded on SoundCloud but since been taken down.,2:07,"Jan 21, 2022",Single,No,https://pillows.su/f/0f1e2ac16658a2b0e3d66afa3ad7dbdd
NO STYLIST [V3],"✨ WTF
(prod. IsaacIndigo & Embasin.)","OG Filename: Destroy Lonely - WTF
Uploaded by the producers of the song. Was originally meant to release on the scrapped 'Ultra' EP in 2021.",2:44,"Jan 26, 2022",Single,Yes,https://open.spotify.com/track/5BqMdsq3tG9fQxXsgrv8xN?si=add408f5d3844877
NO STYLIST [V3],"sometimes (hurricane freestyle)
(prod. Clayco & 4ME)","OG Filename: lone hurricane prod 4me clayco
The song was uploaded on SoundCloud but since been taken down.",2:24,"Jan 28, 2022",Single,No,https://pillows.su/f/6c9ea98653e5d486106e4f3143500015
NO STYLIST [V3],"Icey Wrist
(prod. ThaddParis)","OG Filename: Icey Btch - lonely (prd.Thadd Paris)
Uploaded by the producer of the song.",1:52,"Feb 2, 2022",Single,No,https://pillows.su/f/2a845e06367bb6fe4556cab33c64b1d1
NO STYLIST [V3],"focused
(prod. AilJoy, Arena, CodyLemont & Wisvoo)",The song was uploaded on SoundCloud but since been taken down.,1:52,"Feb 7, 2022",Single,No,https://pillows.su/f/6c755384102c729a5a6934b53667d71a
NO STYLIST [V3],"✨ Fuk Goin
(prod. F1LTHY, Lukrative & Lucian)","OG Filename: lonely Fuk Goin f1lthy lukrative lucian
The song was uploaded on SoundCloud via Hitechstef but since been taken down. Has 1:31 of open instrumental at the end.",3:49,"Feb 12, 2022",Single,No,https://pillows.su/f/66a912e33bc7a309d17d7f80e7e7cde8
NO STYLIST [V3],"Eli Juggz - got it myself
(feat. Destroy Lonely) (prod. 6makxs, ​rnzy & ​armaan)",A song released by Eli Juggz in January 2022.,3:15,"Jan 26, 2022",Feature,No,https://pillows.su/f/fcd9515c53ef27e7c405a98ec5356692
NO STYLIST [V3],"✨ IsaacIndigo & Embasin. - 6 AM In LA
(feat. Destroy Lonely) (prod. IsaacIndigo & Embasin)","OG Filename: 10. indigo & embasin. - 6 AM In LA Ft. Destroy Lonely
Was released by the producers on their joint album 'rejects' as track 10 in 2022. Was later taken down",3:18,"Feb 12, 2022",Feature,No,"https://open.spotify.com/track/3Z1whHdgTN4mmytG00qJqa?si=aac645b20cdb4147&nd=1&dlsi=0211e3cf689e450a
https://pillows.su/f/69d5516a39c7643672fafcef57fa2a60"
NO STYLIST [V3],"RichRick - Two Times
(prod. Noah Mejia & sharkboy)",A song released by RichRick in February 2022.,5:10,"Feb 24, 2022",Feature,Yes,https://open.spotify.com/track/0c3n6Sm5jlc1JjJJXX3kCD?si=379eabd2d47147c3
NO STYLIST [V3],"3TIMES - Reminder
(feat. Destroy Lonely & Unocantdie)",Track 5 on THE JUCE.,3:28,"Feb 22, 2022",Feature,Yes,https://open.spotify.com/track/4WE7QSSi7HxksmpRcdWvd9?si=26f53ec496de4923
NO STYLIST [V3],"Eli TheRula - Racks
(feat. Destroy Lonely, Skys, Duwap Kaine & RipSquad) (prod. Clayco & ???)",who the fuck put this here,2:22,"Mar 17, 2022",Feature,Yes,https://open.spotify.com/track/2kXKhQLqtjJCGLRvrZq17K?si=8f3deb3e556b41ea
NO STYLIST [V3],"been through
(prod. 2onefour)","OG Filename: lonely 2onefourr placement
The song was uploaded on SoundCloud via Hitechstef but since been taken down.",2:02,"Feb 18, 2022",Single,No,https://pillows.su/f/84e2040a5bfa24723edc663cf6c48653
NO STYLIST [V3],"Ghost Kellz - Wakin Dead
(feat. Destroy Lonely) (prod. Beyond Kolby)","For unknown reasons, the song has been wiped from existance so it is deemed lost and all we have is the solo Lone edited version.",1:45,"Feb 25, 2022",Feature,No,https://pillows.su/f/7e20fd02ddbf076f4c25797533a247c8
NO STYLIST [V3],"Feel Like
(prod. Pvps)",The song was uploaded on SoundCloud via Hitechstef but since been taken down.,2:30,"Mar 4, 2022",Single,No,https://pillows.su/f/bd1bf2c82d319ab35c64f8f05d3e1e03
NO STYLIST [V3],"✨ Yung Faid - Money N Powr
(feat. Destroy Lonely)",Track 9 on 99%. Lone verse is insane but Yung Faid is shit.,1:21,"Aug 20, 2021",Feature,Yes,https://open.spotify.com/track/2zVnQOEaeXGGabyDUZAEy2?si=b6c21815af254b6f
NO STYLIST [V3],"Mahdi - Dis Shit Different
(feat. Destroy Lonely) (prod. Clayco)",A song released by Mahdi in August 2021.,2:55,"Aug 20, 2021",Feature,No,https://soundcloud.com/mahdiyork/themahdimusic-x-destroylonely?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
NO STYLIST [V3],"BigSmokeChapo - RTM
(feat. Destroy Lonely) (prod. Clayco)","OG Filename: Money Long Rough 1
Track 2 on Prelude (Rich Snake).",2:48,"Oct 7, 2021",Feature,Yes,https://open.spotify.com/track/47ikrixb9ct4OL9QQLAL2x?si=7300a78365e74cd9
NO STYLIST [V3],"Slimeefiend - Spend it
(feat. Destroy Lonely)",A song released by Slimeefiend in October 2021.,2:41,"Oct 14, 2021",Feature,Yes,https://open.spotify.com/track/79wCqo5EngubWkD1HwetEJ?si=c9caf0e3344d4b97
NO STYLIST [V3],"YOSHI SAN! - Vomit
(feat. Destroy Lonely)",Track 2 on VOMIT.,2:52,"Nov 10, 2021",Feature,Yes,https://open.spotify.com/track/2jXXn4pBXpkJoeV7CW1Ett?si=8f63f3d8e50f44b5
NO STYLIST [V3],"🗑️ Nezzus - ​trump mode.
(feat. Destroy Lonely & Slimesito) (prod. Mat1k, Clayco & ​armaan)",A song released by Nezzus in Decemeber 2021.,2:13,"Dec 21, 2021",Feature,No,https://pillows.su/f/fcfde089132fe1feb3447136b2c27079
NO STYLIST [V3],"​bruhayden - Top Line
(feat. Destroy Lonely) (prod. bruhayden)",A song released by bruhayden in Decemeber 2021.,1:59,"Dec 25, 2021",Feature,No,https://pillows.su/f/e5dc62dde4e2ae33bf8b7a2e433fe66a
NO STYLIST [V3],"Hezelaflare - Top Floor Bandits
(feat. Destroy Lonely) (prod. xdkole & ​octodog)",A song released by Hezelaflare in March 2022.,3:16,"Mar 9, 2022",Feature,No,https://pillows.su/f/819a95165478a235e6c48274a47bb8ab
NO STYLIST [V3],"✨ track 2
(prod. star boy & Outtatown)","OG Filename: DESTROY LONELY X TRACK 2
The song was uploaded on SoundCloud via Hitechstef but since been taken down.",1:54,"Mar 12, 2022",Single,No,https://pillows.su/f/b5b75bb654d596f958c4f518c7b322c4
NO STYLIST [V3],"a minute
(prod. Clayco)",The song was uploaded on SoundCloud but since been taken down.,2:38,"Mar 31, 2022",Single,No,https://pillows.su/f/d433206e6f86120da153afd9f2b79f4d
NO STYLIST [V3],"⭐ saving me
(prod. Cedric Madden & Ginseng)","OG Filename: saving me v2 lonely ginseng
The song was uploaded on SoundCloud via Hitechstef but since been taken down.",3:10,"Apr 15, 2022",Single,No,https://pillows.su/f/bd88ae87a4fb90a6c2ccf56c045d1b31
NO STYLIST [V3],"Fright Night
(prod. Clayco & Cade)","OG Filename: Fright Night Lone
The song was uploaded on SoundCloud via Hitechstef but since been taken down.",2:19,"Apr 18, 2022",Single,No,https://pillows.su/f/5286773394cf2a8c7affd8fa2d58e250
NO STYLIST [V3],"Ghost
(prod. Arena, Wisvoo, ​vvspipes & ​xdkole)","OG Filename: lonely ghost v1 xdkole poles
The song was uploaded on SoundCloud but since been taken down.",3:15,"Jun 3, 2022",Single,No,https://pillows.su/f/5b461a08a7669dc21de89ef6efec0cc6
NO STYLIST [V3],"⭐ Public
(prod. 4ME & Clayco)","OG Filename: lonely public v2 clayco 4me
The song was uploaded on SoundCloud but since been taken down.",2:03,"Jun 24, 2022",Single,No,https://pillows.su/f/53e2e7df3c8832e04b14a1e47b5af34f
NO STYLIST [V3],"⭐ Deal Wit God
(prod. Clayco)","OG Filename: 5.29.22 DESTROY LONELY X SONG 1
The track, heavily samples various parts from “Running Up That Hill (A Deal with God)” by Kate Bush, a song released in 1985 which benefited from a cultural resurgence from its use in the hit TV show Stranger Things. The original file of the song surfaced online on February 8, 2024.",2:03,"Jun 30, 2022",Single,No,https://pillows.su/f/5fb92efb0f88d0258d0ff052ac9f15f9
NO STYLIST [V3],"givenchy hoe
(prod. 4ME, 1Velveteen & Farsight)","OG Filename: Lonely - sep 1
The song was uploaded on SoundCloud via Hitechstef but since been taken down.",2:36,"Jul 22, 2022",Single,No,https://pillows.su/f/f4dc8b29bb46079a59df15d7d79ec0ea
NO STYLIST [V3],"✨ Watch This
(prod. armaan & OB Beats)",The song was uploaded on SoundCloud but since been taken down.,2:40,"Jul 28, 2022",Single,No,https://pillows.su/f/5393fcf40ffbf9743a819a4e43da3c7f
NO STYLIST [V3],"damage
(prod. Richie Souf)","OG Filename: Lone Richie
The song was uploaded on SoundCloud but since been taken down.",2:13,"Aug 4, 2022",Single,No,https://pillows.su/f/59877a7454d36ac8fb7bfc770e8f47de
NO STYLIST [V3],"NO STYLIST [Music Video]
(dir. JMP)","Official music video for 'NO STYLIST'. Funnily enough, there were multiple stylists featured in the production credits for this video.",3:02,"Aug 12, 2022",Music Video,No,https://www.youtube.com/watch?v=QTmRmPDS9tw&list=PLi-I2venL8D_CPIbJ1Ak3n1TBVCO5EJKt&index=7
NO STYLIST [V3],"Bktherula - FOREVER, PT. 2 (JEZEBEL) [Music Video]
(dir. AMD Visuals)",Music video for FOREVER PT2 featuring Destroy Lonely,2:49,"Jul 29, 2022",Music Video,No,https://www.youtube.com/watch?v=UQ-7rd8YgRU
NO STYLIST [V3],"VTMNTSCOAT [Music Video]
(dir. JMP)",Music video for VTMNTSCOAT,2:02,"Oct 24, 2022",Music Video,No,https://www.youtube.com/watch?v=i5UspwnZbxI
NO STYLIST [V3],Ken Carson - MDMA [Music Video],Music video for MDMA featuring Destroy Lonely,3:52,"Oct 31, 2022",Music Video,No,https://www.youtube.com/watch?v=Gbqa9n1XOes
NO STYLIST [V3],bruhayden - Top Line [Music Video],Original video was copyright struck by UMG.,1:59,"Dec [?], 2021",Music Video,No,https://imgur.gg/f/abuuXqX
,"NS+ (ULTRA)
(NO STYLIST DELUXE)","(Aug 12, 2022) (NO STYLIST officially releases)
(Nov 18, 2022) (NS+ ULTRA officially releases)",,,,,
NO STYLIST [V3],"⭐ BLITZ
(prod. Clayco, ​y2tnb & BryceUnknwn)","07.BLITZ (MAIN) SING MASTER
Track 7 on NS+ (ULTRA).",2:23,"Nov 18, 2022",Mixtape Track,Yes,https://open.spotify.com/track/6sMos8CBjRScWJktutm8ek?si=476a18ffaba845a6
NO STYLIST [V3],"HAVINMYWAY
(prod. Zodiac, Cade & Farsight)","OG Filename: 13.HAVINMYW (MAIN) SING MASTER
Track 13 on NS+ (ULTRA).",2:24,"Nov 18, 2022",Mixtape Track,Yes,https://open.spotify.com/track/1DbyJdRvzTxvale4tLsmOc?si=c9e8910284ba43a3
NO STYLIST [V3],"⭐ ALLURE
(prod. Clayco, Cade & Farsight)","OG Filename: 14.ALLURE (MAIN) SING MASTER
Track 14 on NS+ (ULTRA).",2:51,"Nov 18, 2022",Mixtape Track,Yes,https://open.spotify.com/track/5l7ZfH9fS6kxthqHhMMbY7?si=38a0e2c03bb543ac
NO STYLIST [V3],"✨ LOUVRE
(prod. Clayco, BryceUnknwn & ​y2tnb)","OG Filename: 20.LOUVRE (MAIN) SING MASTER
Track 20 on NS+ (ULTRA).",2:13,"Nov 18, 2022",Mixtape Track,Yes,https://open.spotify.com/track/2m9l8sDp4urMijxvawcbVx?si=2300f161ecf4430d
NO STYLIST [V3],"⭐ NEVEREVER
(prod. Clayco, BryceUnknwn & ​y2tnb)","OG Filename: 24.NEVEREVER (MAIN) SING MASTER
Track 24 on NS+ (ULTRA).",2:24,"Nov 18, 2022",Mixtape Track,Yes,https://open.spotify.com/track/610gzNqwaSz89u6YIpDlyZ?si=374a689c86774b6b
NO STYLIST [V3],"Internet Money - On Me
(feat. Destroy Lonely) (prod. Cxdy, Tarzan & Taz Taylor)","OG Filename: 003 On Me ft Destroy Lonely
Track 3 on We All We Got.",2:16,"Aug 19, 2022",Feature,Yes,https://open.spotify.com/track/7pu5iil9z2eqqAe8z4I53o?si=81a2c39a502146b0
NO STYLIST [V3],"White Russian SK - ON EDGE!
(feat. Destroy Lonely)",Track 4 on gleamboy.,2:18,"Sep 2, 2022",Feature,Yes,https://open.spotify.com/track/53wZf6oQJyyHEbRggh7hOf?si=5d8d2b47b874426c
NO STYLIST [V3],"✨ Dom Corleo - changed
(feat. Destroy Lonely) (prod. Beyond Kolby)",The song was uploaded on SoundCloud but since been taken down.,2:52,"Oct 3, 2022",Feature,No,https://pillows.su/f/f51ea5032384bec35c241f4dbf1099f8
NO STYLIST [V3],"Highway - By Myself
(feat. Destroy Lonely) (prod. Alex Goldblatt & Brazzen)",Track 4 on Livin Like That.,3:24,"Nov 11, 2022",Feature,Yes,https://open.spotify.com/track/27o0xlsmaKZvyLFPZQRu99?si=a2e9ae5e4a3949c4
NO STYLIST [V3],"Catch Up
(prod. ok)","The song was uploaded on SoundCloud but since been taken down. Originally surfaced Jun 25, 2022 on SoundCloud with tags and an added intro. On Oct 5, 2025 the higher quality, unedited version was found on the producer's SoundCloud, uploaded privately on Feb 23, 2022.",2:51,Date needed,Single,No,"https://soundcloud.com/yungsquilliam/destroy-lonely-untitled-prod/s-91rMmkH5OR9 
https://pillows.su/f/1e1af08f62be4e01f1123c397bf57d75"
NO STYLIST [V3],"BigSmokeChapo - Goin Up
(feat. Destroy Lonely)",The song was uploaded on SoundCloud but since been taken down.,3:02,Date needed,Feature,No,https://pillows.su/f/b14d0f78417f5eb034a0f2ce07f02588
NO STYLIST [V3],"Long Time
(prod. IsaacIndigo & Embasin)",Uploaded by the producers of the song.,1:58,"Nov 16, 2022",Single,No,https://pillows.su/f/ed2f717e64e4b2142806bb37b802f111
NO STYLIST [V3],"NEVEREVER/FAKENGGAS [Music Video]
(dir. JMP)","Official music video for NEVEREVER, which also features the partial MV for FAKENGGAS.",2:59,"Feb 20, 2023",Music Video,No,https://www.youtube.com/watch?v=uwTtv0ZsqgQ&list=PLi-I2venL8D_CPIbJ1Ak3n1TBVCO5EJKt&index=5
NO STYLIST [V3],"BLITZ/ALLURE [Music Video]
(dir. JMP)","Official music video for BLITZ, which also features the partial MV for ALLURE.",3:26,"Nov 18, 2022",Music Video,No,https://www.youtube.com/watch?v=Zifq9BWNFVE&list=PLi-I2venL8D_CPIbJ1Ak3n1TBVCO5EJKt&index=6
"31 Album Track(s)
3 Single(s)
1 Feature(s))
0 Mixtape Track
0 EP Track","If Looks Could Kill
(Directors Cut)","(Aug 12, 2022) (NO STYLIST officially releases)
(May 5, 2023) (if looks could kill officially releases)",,,,"Destroy Lonely first teased the project on September 15, 2022, in a now-deleted Twitter post, stating: ""next album > “if looks could kill…” The rollout for the album would seem to officially start on April 25, 2023, when fans noticed a “billboard” in New York City with just the words “If Looks Could Kill” written in red on a mirror. The board would also show a QR code on the bottom right, leading fans to his website, revealing a countdown ending for May 5th, the supposed release for the album. On April 27, 2023, the tracklist of the album would somehow get leaked to fans and revealed 26 songs, 25 solo songs and 1 bonus track with Ken Carson.

When the album first released, it initially received lots of hate from fans. Many did not like it, as it was somewhat different from Lones previous music. However, when fall 2023 began to roll around and the albums deluxe (Directors Cut) dropped, many fans changed their opinions on the album and started to like it more. This is likely because the overall theme & vibe of the album was more halloween/fall, while the album dropped right before summertime. Nowadays, many consider this to be Lones second best album right behind NO STYLIST.",
If Looks Could Kill,"⭐ Homixide Gang - TF!
(feat. Destroy Lonely & Biggaveli) (prod. artist)
(WTF They Gone Say)","Recorded during the same session as ""G6"". Track 9 on Homixide Lifestyle. Was originally Track 4 on an old tracklist.",2:30,"Nov 22, 2022",Feature,Yes,https://open.spotify.com/track/20wYIN5mtZIYReNO2WeMwL?si=af229aa12e5e4a8e
If Looks Could Kill,"eyes closed
(prod. IsaacIndigo & Embasin)",Uploaded by the producers of the song.,3:01,"Dec 13, 2022",Single,No,https://pillows.su/f/1db2b4a39946d8803cecfa1666771a62
